dt_hour,user_id,adm_cd2,wearing,hr_bpm,stress_0_1
2025-09-02 15:00:00,1111051500_0000,1111051500,1,76.71775229463105,0.520394883045272
2025-09-02 15:00:00,1111051500_0001,1111051500,0,,
2025-09-02 15:00:00,1111051500_0002,1111051500,1,73.28581768381468,0.35373273872496214
2025-09-02 15:00:00,1111051500_0003,1111051500,1,77.74736559965577,0.45995800427849165
2025-09-02 15:00:00,1111051500_0004,1111051500,1,71.99508964059198,0.34611909355358805
2025-09-02 15:00:00,1111053000_0000,1111053000,1,68.0284068817704,0.3575023354676077
2025-09-02 15:00:00,1111053000_0001,1111053000,1,72.04383502525438,0.40073057166138304
2025-09-02 15:00:00,1111053000_0002,1111053000,1,74.80725170922092,0.23548382608752247
2025-09-02 15:00:00,1111053000_0003,1111053000,1,73.62740764306966,0.26500680735161053
2025-09-02 15:00:00,1111053000_0004,1111053000,0,,
2025-09-02 15:00:00,1111054000_0000,1111054000,1,68.19515726140213,0.30103184557156665
2025-09-02 15:00:00,1111054000_0001,1111054000,1,57.5216646387302,0.4105327981117766
2025-09-02 15:00:00,1111054000_0002,1111054000,1,56.119044304490835,0.3338804538103939
2025-09-02 15:00:00,1111054000_0003,1111054000,1,65.51556532579856,0.44827550269338884
2025-09-02 15:00:00,1111054000_0004,1111054000,1,67.41675452216555,0.3039393706806927
2025-09-02 15:00:00,1111055000_0000,1111055000,1,86.73109853449442,0.5602158881807624
2025-09-02 15:00:00,1111055000_0001,1111055000,1,77.84609032640606,0.5012839353860762
2025-09-02 15:00:00,1111055000_0002,1111055000,1,75.80665098538742,0.322654616917724
2025-09-02 15:00:00,1111055000_0003,1111055000,1,54.12378973447518,0.42490294128630657
2025-09-02 15:00:00,1111055000_0004,1111055000,1,80.38690884920287,0.24140441202626123
2025-09-02 15:00:00,1111056000_0000,1111056000,1,69.68723110463408,0.2870936596501543
2025-09-02 15:00:00,1111056000_0001,1111056000,1,79.29050683051757,0.3952195264052836
2025-09-02 15:00:00,1111056000_0002,1111056000,1,64.99550956766228,0.36080492509849016
2025-09-02 15:00:00,1111056000_0003,1111056000,1,83.10820616779417,0.4690130529299964
2025-09-02 15:00:00,1111056000_0004,1111056000,1,74.80761060905859,0.4812096097183711
2025-09-02 15:00:00,1111057000_0000,1111057000,1,62.439468884863146,0.31218913546595856
2025-09-02 15:00:00,1111057000_0001,1111057000,0,,
2025-09-02 15:00:00,1111057000_0002,1111057000,1,49.8288571706438,0.2959628941595673
2025-09-02 15:00:00,1111057000_0003,1111057000,1,68.78782776102041,0.5042301410347559
2025-09-02 15:00:00,1111057000_0004,1111057000,0,,
2025-09-02 15:00:00,1111058000_0000,1111058000,1,53.201938708588905,0.28404515149031817
2025-09-02 15:00:00,1111058000_0001,1111058000,1,53.3717757095002,0.2896779259007941
2025-09-02 15:00:00,1111058000_0002,1111058000,1,63.96853815283147,0.36698312744269
2025-09-02 15:00:00,1111058000_0003,1111058000,0,,
2025-09-02 15:00:00,1111058000_0004,1111058000,1,73.43252794555065,0.4533256753598938
2025-09-02 15:00:00,1111060000_0000,1111060000,0,,
2025-09-02 15:00:00,1111060000_0001,1111060000,1,74.03939860223346,0.4337035992866012
2025-09-02 15:00:00,1111060000_0002,1111060000,1,69.95506202910084,0.35063842814742924
2025-09-02 15:00:00,1111060000_0003,1111060000,1,71.00798198729707,0.305957784009199
